feature,id,X,Y
B,346,473502.5938,3142041.565
B,347,473682.5938,3142054.713
B,348,474957.5938,3141945.824
B,349,474357.5938,3142041.565
B,350,473487.5938,3141337.306
B,351,474027.5938,3141863.231
B,352,474972.5938,3142064.157
B,353,475182.5938,3141885.824
B,354,474552.5938,3141827.861
B,355,473622.5938,3141827.861
B,356,475182.5938,3141842.861
B,357,472707.5938,3141690.917
B,358,474267.5938,3141820.269
B,359,472467.5938,3141711.565
B,360,474972.5938,3141589.62
B,361,473517.5938,3141707.861
B,362,473022.5938,3141268.602
B,363,474687.5938,3141571.009
B,364,473397.5938,3140947.954
B,365,474567.5938,3141362.676
B,366,474897.5938,3141182.676
B,367,473577.5938,3141208.972
B,368,472467.5938,3141027.028
B,369,475527.5938,3140955.731
B,370,473052.5938,3141023.231
B,371,475332.5938,3141058.972
B,372,472662.5938,3141124.713
B,373,474312.5938,3140847.028
B,374,473187.5938,3140807.491
B,375,473637.5938,3140961.565
B,376,473817.5938,3140991.565
B,377,474927.5938,3140884.713
B,378,473322.5938,3140881.009
B,379,473802.5938,3140854.713
B,380,473247.5938,3140203.417
B,381,474762.5938,3140745.824
B,382,474567.5938,3140768.417
B,383,473862.5938,3140761.009
B,384,474927.5938,3140648.417
B,385,474102.5938,3140605.269
B,386,474327.5938,3140578.972
B,387,473577.5938,3140644.713
B,388,473922.5938,3140541.565
B,389,474807.5938,3140558.417
B,390,473772.5938,3140554.713
B,391,474042.5938,3140419.62
B,392,474507.5938,3140303.231
B,393,473652.5938,3140278.972
B,394,474057.5938,3140093.231
B,395,474912.5938,3140151.565
B,396,474762.5938,3140191.009
B,397,473742.5938,3140151.565
B,398,474477.5938,3140187.213
B,399,473622.5938,3139958.324
B,400,474237.5938,3139999.528
B,401,474192.5938,3140114.157
B,402,475047.5938,3140042.861
B,403,473832.5938,3140074.713
B,404,474132.5938,3140001.565
B,405,474642.5938,3139992.028
B,406,474342.5938,3139967.861
B,407,474867.5938,3138563.046
B,408,474447.5938,3139904.157
B,409,473727.5938,3139834.62
B,410,474027.5938,3139784.157
B,411,474147.5938,3139701.565
B,412,473997.5938,3139681.009
B,413,473907.5938,3139624.713
